Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
AGG NRPVIN002;м. Вiнниця, вул. Келецька, 54Б;AGG NRPVIN002 м. Вiнниця, вул. Келецька, 54Б;;;30.12.2011;;Бойко П.Р.;Эксплуатация;False;31.12.2015
AGG VIN005;м.Вiнниця, вул.50-рiччя Перемоги,26;AGG VIN005 м.Вiнниця, вул.50-рiччя Перемоги,26;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;29.06.2017
AGG VIN010;м.Вiнниця, вул.Келецька, 23;AGG VIN010 м.Вiнниця, вул.Келецька, 23;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;17.06.2015
AGG VIN013;м.Вiнниця, вул. Паризькоi Комуни, 18;AGG VIN013 м.Вiнниця, вул. Паризькоi Комуни, 18;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;30.09.2018
AGG VIN901;м.Вiнниця, просп.Юностi, 16;AGG VIN901 м.Вiнниця, просп.Юностi, 16;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;16.12.2014
AGG VIN978;21021 м. Вiнниця, вул. 600-рiччя, 19;AGG VIN978 21021 м. Вiнниця, вул. 600-рiччя, 19;;;30.12.2011;;Косій Д.В.;Эксплуатация;False;30.06.2015
ATS VIN058;г.Винница, ул.Киевская, 14, ко;г.Винница, ул.Киевская, 14, ко;;;31.03.2001;;;Закрыт;False;31.03.2001
BSC VIN001;м. В?ннниця;м. В?ннниця;;;28.02.2003;;;Закрыт;False;28.02.2003
BSC VIN0036;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0036 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;22.12.2014;Гончаренко С.О.;Закрыт;False;07.06.2013
BSC VIN0065;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0065 м. Вiнниця, вул. Келицька, 54-б;;;15.10.2012;25.04.2016;Бойко П.Р.;Закрыт;False;18.05.2013
BSC VIN0122;м. Вiнниця, вул. Келицька, 54-б;BSC VIN0122 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN083;вул. Скалецького, 72;BSC VIN083 г. Винница, ул Келецкая, 54 б;;;23.08.2007;;Бойко П.Р.;Эксплуатация;False;14.09.2015
BSC VIN137;м. Вiнниця, вул. Келицька, 54-б;BSC VIN137 м. Вiнниця, вул. Келицька, 54-б;;;11.05.2012;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN142;г.Винница;BSC VIN142 г. Винница ул. Келецька, 54б;;;24.10.2008;;Бойко П.Р.;Эксплуатация;False;14.09.2015
BSC VIN159;м. Вiнниця, вул. Келицька, 54-б;BSC VIN159 м. Вiнниця, вул. Келицька, 54-б;;;20.01.2014;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN163;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;BSC VIN163 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;06.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN175;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;BSC VIN175 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;10.11.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
BSC VIN506;м. Вінниця, вул. Келицька, 54-б;;;;14.06.2016;;Бойко П.Р.;Эксплуатация;False;20.12.2016
BSC VIN517;м. Вінниця, вул. Келицька, 54Б;;;;21.12.2016;;Бойко П.Р.;Эксплуатация;False;21.12.2016
BSC VIN527;м. Вінниця, вул. Келицька, 54Б;;;;21.12.2016;;Бойко П.Р.;Эксплуатация;False;21.12.2016
MGW VIN028;м. Вiнниця, вул. Келицька, 54-б;MGW VIN028 м. Вiнниця, вул. Келицька, 54-б;;;02.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
MGW VIN029;г. Винница;MGW VIN029 г. Винница, ул Келецкая, 54 б;;;12.06.2008;;Бойко П.Р.;Эксплуатация;False;22.12.2014
MGW VIN055;м. Вiнниця, вул. Келицька, 54Б;MGW VIN055 м. Вiнниця, вул. Келицька, 54Б;;;16.04.2012;;Бойко П.Р.;Эксплуатация;False;20.12.2016
MGW VIN064;м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;MGW VIN064 м. Вiнниця, вул. Келицька, 54Б, ЛАЦ-1;;;02.08.2010;;Бойко П.Р.;Эксплуатация;False;27.03.2014
MIN VIN001;м.В?нниця,вул.Скалецького,72;MIN VIN001 м.Вiнниця,вул.Скалецького,72;;;31.08.2002;16.05.2009;Косій Д.В.;Закрыт;False;31.08.2002
MSS VIN0007;м. Вiнниця, вул. Келицька, 54-б;MSS VIN0007 м. Вiнниця, вул. Келицька, 54-б;;;24.04.2013;;Бойко П.Р.;Эксплуатация;False;20.12.2016
MSS VIN008;г. Винница;MSS VIN008 г. Винница, ул Келецкая, 54 б;;;23.10.2008;;Бойко П.Р.;Эксплуатация;False;14.09.2015
MSS VIN057;м. Вiнниця, вул. Келицька, 54-б;MSS VIN057 м. Вiнниця, вул. Келицька, 54-б;;;29.04.2011;;Бойко П.Р.;Эксплуатация;False;22.12.2014
MSS VIN072;м. Вiнниця, вул. Келицька, 54-б;MSS VIN072 м. Вiнниця, вул. Келицька, 54-б;;;21.10.2015;;Бойко П.Р.;Эксплуатация;False;31.12.2015
MTS VIN001;г.Винница, ул.Соборная, 10;г.Винница, ул.Соборная, 10;;;31.07.2002;;Тарасюк О.Г.;Закрыт;False;31.07.2002
NRP VIN001;м.Вiнниця,вул.Скалецького,72;NRP VIN001 м.Вiнниця,вул.Скалецького,72;;;01.10.2004;;Косій Д.В.;Эксплуатация;False;25.09.2015
NRP VIN002;вул. Келецька, 54Б, м. Вiнниця;NRP VIN002 вул. Келецька, 54Б, м. Вiнниця;;;24.12.2010;;Бойко П.Р.;Эксплуатация;False;23.03.2018
OPE VIN902;Вiнниця;OPE VIN902 Вiнниця;;;;;;Строящийся;False;
OPE VIN908;Вiнниця;OPE VIN908 Вiнниця;;;23.08.2007;14.07.2015;Косій Д.В.;Закрыт;False;02.03.2015
POP NRPVIN001;ул. Скалецкого, 72;POP NRPVIN001 ул. Скалецкого, 72;;;17.10.2013;;Косій Д.В.;Эксплуатация;False;25.09.2015
POP VIN000006;ул. Щорса, 24;POP VIN000006 ул. Щорса, 24;;;19.09.2013;;Косій Д.В.;Эксплуатация;False;10.02.2016
POP VIN000009;ул. Киевская, 14;POP VIN000009 ул. Киевская, 14;;;18.12.2013;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN000010;wew;;;;;;;Строящийся;False;
POP VIN000011;м. Вiнниця, вул. Лебединського, буд. 7;POP VIN000011 м. Вiнниця, вул. Лебединського, буд. 7;;;25.11.2013;07.07.2017;Косій Д.В.;Закрыт;False;10.02.2016
POP VIN000012;Вінниця м. (Вінницька область), Брацлавська вул., буд. 103, ( );;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN000013;ул. Красноармейская, 1;POP VIN000013 ул. Красноармейская, 1;;;20.05.2013;06.03.2015;Косій Д.В.;Закрыт;False;24.06.2013
POP VIN000017;Вінниця м. (Вінницька область), Пирогова вул., буд. 141;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN000018;ул. Гоголя, 4;POP VIN000018 ул. Гоголя, 4;;;19.11.2013;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN000019;ул. 30-летия, Победы, 21;POP VIN000019 ул. 30-летия, Победы, 21;;;16.05.2013;19.03.2015;Косій Д.В.;Закрыт;False;28.06.2013
POP VIN00002;м. Вiнниця, вул. Максимовича, 4;POP VIN00002 м. Вiнниця, вул. Максимовича, 4;;;26.12.2012;;Косій Д.В.;Эксплуатация;False;10.02.2016
POP VIN000103;Вінниця м. (Вінницька область), Карла Маркса вул., буд. 38, ( );;;;;;;Строящийся;False;
POP VIN000155;ул. Ленина, 1а;POP VIN000155 ул. Ленина, 1а;;;22.03.2013;;Кордонець І.В.;Эксплуатация;False;29.09.2016
POP VIN0002000017;Вiнниця, вул.600-рiччя, 17;POP VIN0002000017 Вiнниця, вул.600-рiччя, 17;;;13.01.2014;;Шабанов А.Є.;Эксплуатация;False;02.03.2017
POP VIN000423;м. Вiнниця, Ватутина вул., буд. 137;POP VIN000423 м. Вiнниця, Ватутина вул., буд. 137;;;27.11.2012;;Косій Д.В.;Эксплуатация;False;23.03.2015
POP VIN000434;Вiнниця м., Хмельницьке шосе, буд. 145, (  Фуршет );POP VIN000434 Вiнниця м., Хмельницьке шосе, буд. 145, (  Фуршет );;;16.12.2013;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN0005000001;Вiнницька обл., м.Жмеринка, вул.Ленiна, 1;POP VIN0005000001 Вiнницька обл., м.Жмеринка, вул.Ленiна, 1;;;08.11.2013;16.03.2015;Шабанов А.Є.;Закрыт;False;10.12.2013
POP VIN000706;м. В?нниця, Першотравнева вул., буд. 158;;;;07.06.2016;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN000715;м. Вiнниця, вул. i. Богуна, 2.;POP VIN000715 м. Вiнниця, вул. i. Богуна, 2.;;;14.02.2014;11.09.2015;Косій Д.В.;Закрыт;False;14.03.2014
POP VIN000720;Вінниця м. (Вінницька область), Чехова вул., буд. 25;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN000721;Вінниця м. (Вінницька область), Ватутіна вул., буд. 137;;;;;;;Строящийся;False;
POP VIN000726;Вінниця м. (Вінницька область), Академіка Янгеля вул., буд. 4, к. офіс 611 (Інститут  Україна );;;;;;;Строящийся;False;
POP VIN000767;м.Вiнниця, урочище  Кабачок , 12;POP VIN000767 м.Вiнниця, урочище  Кабачок , 12;;;23.04.2014;;Косій Д.В.;Эксплуатация;False;05.12.2017
POP VIN000800;пл. Гагарина, 2;POP VIN000800 пл. Гагарина, 2;;;25.11.2013;;Косій Д.В.;Эксплуатация;False;31.10.2016
POP VIN000805;м. Вінниця, Замостянська вул., буд. 25;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN000905;Вінниця м. (Вінницька область), Салтикова-Щедріна вул., буд. 131;;;;;;;Строящийся;False;
POP VIN000908;ул. Скалецкого, 35/194;POP VIN000908 ул. Скалецкого, 35/194;;;01.11.2013;14.10.2014;Косій Д.В.;Закрыт;False;20.12.2013
POP VIN000924;ул. Грушевского, 23;POP VIN000924 ул. Грушевского, 23;;;17.10.2013;26.12.2016;Косій Д.В.;Закрыт;False;28.09.2016
POP VIN000940;Вiнниця м., 50-рiччя Перемоги вул., буд. 12;POP VIN000940 Вiнниця м., 50-рiччя Перемоги вул., буд. 12;;;12.03.2015;06.10.2015;Косій Д.В.;Закрыт;False;12.05.2015
POP VIN000947;ул. Козицкого, 46;POP VIN000947 ул. Козицкого, 46;;;08.10.2013;06.10.2015;Косій Д.В.;Закрыт;False;25.11.2013
POP VIN0011;м.Вiнниця, пр-т Коцюбинського, 4;POP VIN0011 м.Вiнниця, пр-т Коцюбинського, 4;;;25.11.2013;;Косій Д.В.;Эксплуатация;False;31.03.2016
POP VIN001101;Вiнницька область, м. Вiнниця, Келецька вул., буд. 106, ком.111;POP VIN001101 Вiнницька область, м. Вiнниця, Келецька вул., буд. 106, ком.111;;;12.03.2015;06.10.2015;Косій Д.В.;Закрыт;False;12.05.2015
POP VIN0013;м.В?нниця, вул. Паризько? Комуни, 18;POP VIN0013 м.Вiнниця, вул. Паризькоi Комуни, 18;;;11.03.2010;25.07.2014;Косій Д.В.;Закрыт;False;24.05.2013
POP VIN0017;м.Вінниця, вул.Сабарівська, 7;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN001730;Вінниця м. (Вінницька область), Карла Маркса вул., буд. 38;;;;17.08.2018;;Косій Д.В.;Эксплуатация;False;17.08.2018
POP VIN001754;ул. Привокзальная, 2/1;POP VIN001754 ул. Привокзальная, 2/1;;;05.11.2013;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN0018;ул. архитектора Артинова, 46;POP VIN0018 ул. архитектора Артинова, 46;;;19.11.2013;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN0019;ул. 600-летия, 25;POP VIN0019 ул. 600-летия, 25;;;16.05.2013;19.03.2015;Косій Д.В.;Закрыт;False;18.12.2014
POP VIN002;м. Вiнниця, вул. Хмельницьке шосе, 15;POP VIN002 м. Вiнниця, вул. Хмельницьке шосе, 15;;;26.12.2012;;Косій Д.В.;Эксплуатация;False;18.12.2014
POP VIN002014;Вiнницька область,м. Вiнниця,  Пирогова вул., буд. 23;POP VIN002014 Вiнницька область,м. Вiнниця,  Пирогова вул., буд. 23;;;12.03.2015;12.10.2015;Косій Д.В.;Закрыт;False;12.05.2015
POP VIN002814;Вінниця м. (Вінницька область), Пирогова вул., буд. 37;;;;;;;Строящийся;False;
POP VIN005;м.Вiнниця, вул.50-рiччя Перемоги,26;POP VIN005 м.Вiнниця, вул.50-рiччя Перемоги,26;;;29.04.2013;;Косій Д.В.;Эксплуатация;False;29.06.2017
POP VIN006;Немирiвське шосе,26;POP VIN006 Немирiвське шосе,26;;;19.09.2013;;Косій Д.В.;Эксплуатация;False;30.06.2017
POP VIN0064;ул. Ленина, 1;POP VIN0064 ул. Ленина, 1;;;17.10.2013;;Богатюк О.В.;Эксплуатация;False;30.03.2018
POP VIN00706;м. Вiнниця, Хмельницьке шосе, буд. 23А;POP VIN00706 м. Вiнниця, Хмельницьке шосе, буд. 23А;;;27.11.2012;;Косій Д.В.;Эксплуатация;False;06.11.2015
POP VIN0076;ул. Коцюбинского, 1;POP VIN0076 ул. Коцюбинского, 1;;;23.12.2013;;Парфенюк О.В.;Эксплуатация;False;18.08.2017
POP VIN0094;, с. Джулинка;;;;15.02.2016;;Богатюк О.В.;Эксплуатация;False;24.03.2016
POP VIN00947;Вiнниця м., Успенського Глiба вул., буд. 91;POP VIN00947 Вiнниця м., Успенського Глiба вул., буд. 91;;;17.10.2013;;Косій Д.В.;Эксплуатация;False;10.02.2016
POP VIN010002;Хмельницьке шосе, 23;POP VIN010002 Хмельницьке шосе, 23;;;17.10.2013;14.04.2015;Косій Д.В.;Закрыт;False;20.12.2013
POP VIN010006;м. Вiнниця, вул. Карла Маркса, буд. 38;POP VIN010006 м. Вiнниця, вул. Карла Маркса, буд. 38;;;11.09.2014;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN010009;Вiнниця;POP VIN010009 Вiнниця;;;20.08.2014;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN010011;Вiнницька область, м. Вiнниця, Папанiна вул., буд. 1А, к. ТЦ Квартал;POP VIN010011 Вiнницька область, м. Вiнниця, Папанiна вул., буд. 1А, к. ТЦ Квартал;;;12.03.2015;;Косій Д.В.;Эксплуатация;False;12.05.2015
POP VIN010013;ул. Киевская, 27;POP VIN010013 ул. Киевская, 27;;;01.11.2013;15.10.2015;Косій Д.В.;Закрыт;False;20.12.2013
POP VIN010018;ул. Соборная, 81;POP VIN010018 ул. Соборная, 81;;;25.11.2013;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN0103;м. Вінниця, пров. О.Антонова, 19А;;;;;;;Строящийся;False;
POP VIN0105000001;Вiнниця, вул.Енгельса 3;POP VIN0105000001 Вiнниця, вул.Енгельса 3;;;13.01.2014;16.03.2015;Шабанов А.Є.;Закрыт;False;05.02.2014
POP VIN010715;Вiнниця, вул. Черновола, 29;POP VIN010715 Вiнниця, вул. Черновола, 29;;;20.08.2014;;Косій Д.В.;Эксплуатация;False;02.03.2017
POP VIN010800;Вінниця м. (Вінницька область), Гагаріна пл., буд. 2, ( );;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN010802;м. Вінниця, Хмельницьке шосе, буд. 21;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN010821;В?нниця м., Козицького вул., буд. 51;;;;12.03.2015;;Косій Д.В.;Эксплуатация;False;30.04.2015
POP VIN010924;Вінниця м. (Вінницька область), Фрунзе вул., буд. 4;;;;07.06.2016;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN010926;Вінниця м. (Вінницька область), Київська вул., буд. 51, ( );;;;;;;Строящийся;False;
POP VIN011754;Вiнницька область, м. Вiнниця, вул. Шмiдта, буд. 32;POP VIN011754 Вiнницька область, м. Вiнниця, вул. Шмiдта, буд. 32;;;12.03.2015;;Косій Д.В.;Эксплуатация;False;12.05.2015
POP VIN012;пл. Октябрьская, 1;POP VIN012 пл. Октябрьская, 1;;;04.12.2013;;Косій Д.В.;Эксплуатация;False;29.06.2017
POP VIN013;м. В?нниця, вул. Черновола, 29;POP VIN013;;;11.03.2010;25.07.2014;Косій Д.В.;Закрыт;False;17.02.2012
POP VIN0155;собственная мачта на территории сельского совета;POP VIN0155 собственная мачта на территории сельского совета;;;22.03.2013;;Кордонець І.В.;Эксплуатация;False;29.06.2018
POP VIN02000002;г.Винница, ул.Соборная, 10;POP VIN02000002 г.Винница, ул.Соборная, 10;г.Винница, ул.Соборная, 10;;31.12.2011;;Шабанов А.Є.;Эксплуатация;False;30.09.2018
POP VIN02000017;г. Винница, ул. 600-летия, 17, ТЦ iМегамолi;POP VIN02000017 г. Винница, ул. 600-летия, 17, ТЦ iМегамолi;;;18.10.2013;;Шабанов А.Є.;Эксплуатация;False;10.02.2016
POP VIN020006;м. Вінниця, Немирівське шосе,26, ATM ПАТ КРЕДІ АГРІКОЛЬ БАНК;;;;;;;Строящийся;False;
POP VIN020009;Вiнницька область, м. Вiнниця Соборна вул., буд. 82;POP VIN020009 Вiнницька область, м. Вiнниця Соборна вул., буд. 82;;;12.03.2015;01.09.2015;Косій Д.В.;Закрыт;False;12.05.2015
POP VIN020018;ул. Театральная, 43;POP VIN020018 ул. Театральная, 43;;;08.10.2013;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN02020002;м. Вiнниця, вул. Київська, 14;POP VIN02020002 м. Вiнниця, вул. Київська, 14;;;17.10.2013;;Косій Д.В.;Эксплуатация;False;10.02.2016
POP VIN0205000001;Вiнниця, шос.Гнiванське, 7;POP VIN0205000001 Вiнниця, шос.Гнiванське, 7;;;13.01.2014;26.08.2016;Шабанов А.Є.;Закрыт;False;05.02.2014
POP VIN020800;Вінниця м. (Вінницька область), Пирогова вул., буд. 2;;;;19.07.2017;;Косій Д.В.;Эксплуатация;False;30.09.2017
POP VIN020802;Вінниця м. (Вінницька область), Хмельницьке шосе, буд. 13, ( );;;;;;;Строящийся;False;
POP VIN020924;Вінниця м. (Вінницька область),50 річчя Перемоги пр-т, буд. 33, ( );;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN03000017;Вiнниця м. (Вiнницька область), 600-рiччя вул., буд. 17;POP VIN03000017 Вiнниця м. (Вiнницька область), 600-рiччя вул., буд. 17;;;;;;Строящийся;False;
POP VIN03000019;г. Винница, ул. Театральная, 10;POP VIN03000019 г. Винница, ул. Театральная, 10;;;11.02.2014;;Шабанов А.Є.;Эксплуатация;False;02.03.2017
POP VIN030009;м. Вінниця, вул. Пушкіна, 10;;;;07.06.2016;;Косій Д.В.;Эксплуатация;False;28.09.2016
POP VIN030018;Вінниця, вул. Гоголя, 30;;;;;;;Строящийся;False;
POP VIN0305000001;м. Вінниця, вул. Карла Маркса, 40а, офіс ТОВ АПТЕКА24;;;;07.06.2016;;Шабанов А.Є.;Эксплуатация;False;28.09.2016
POP VIN04000007;г.Винница, ул.Келецкая, 53;POP VIN04000007 г.Винница, ул.Келецкая, 53;г.Винница, ул.Келецкая, 53;;31.12.2011;16.01.2018;Шабанов А.Є.;Закрыт;False;18.08.2015
POP VIN0405000001;Вінниця, вул. Привокзальна, 2/1;;;;07.06.2016;;Шабанов А.Є.;Эксплуатация;False;28.09.2016
POP VIN0423;м. Вiнниця, вул. Гонти, 96;POP VIN0423 м. Вiнниця, вул. Гонти, 96;;;27.11.2012;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN0434;м.Вiнниця, вул.Хмельницьке шосе, 145;POP VIN0434 м.Вiнниця, вул.Хмельницьке шосе, 145;;;16.12.2013;;Косій Д.В.;Эксплуатация;True;30.06.2015
POP VIN05000001;г.Винница, ул.Киевская, 14;POP VIN05000001 г.Винница, ул.Киевская, 14;СО г.Винница, ул.Киевская, 14;;31.12.2011;;Шабанов А.Є.;Эксплуатация;False;30.09.2018
POP VIN0500010001;ул. Киевская, 14;POP VIN0500010001 ул. Киевская, 14;;;18.10.2013;22.10.2015;Шабанов А.Є.;Закрыт;False;10.12.2013
POP VIN0500020001;ул. Козицкого, 51;POP VIN0500020001 ул. Козицкого, 51;;;;;;Строящийся;False;
POP VIN0505000001;м.  Вінниця, вул. Миколи Оводова, 51, ТРЦ Мегаце . приміщення ТОВ СТРАДІВАРІУС УКРАЇНА;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN0605000001;Вінниця м. (Вінницька область), Привокзальна вул., буд. 2/1;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN0705000001;м.Вінниця м., Коцюбинського просп., буд. 78, серверна Ельдорадо;;;;02.05.2018;;Косій Д.В.;Эксплуатация;False;02.05.2018
POP VIN0715;м. Вiнниця, вул. i.Богуна, буд.2;POP VIN0715 м. Вiнниця, вул. i.Богуна, буд.2;;;20.08.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN0720;м.Вiнниця, Немирiвське шосе, 76;POP VIN0720 м.Вiнниця, Немирiвське шосе, 76;;;09.07.2013;;Косій Д.В.;Эксплуатация;False;29.06.2017
POP VIN0721;м.Вінниця, вул. Ватутіна,137;;;;;;;Строящийся;False;
POP VIN0724;ул. Фрунзе, 4;POP VIN0724 ул. Фрунзе, 4;;;06.11.2013;21.03.2014;Косій Д.В.;Закрыт;False;06.12.2013
POP VIN0726;м.Вінниця, вул. Фрунзе, 4;;;;;;;Строящийся;False;
POP VIN0767;м.Вiнниця, урочище  Кабачок , 12;POP VIN0767 м.Вiнниця, урочище  Кабачок , 12;;;23.04.2014;;Косій Д.В.;Эксплуатация;False;30.06.2016
POP VIN0800;Вінниця м. (Вінницька область), Гагаріна пл., буд. 2, ( );;;;19.07.2017;;Косій Д.В.;Эксплуатация;False;30.09.2017
POP VIN0821;В?нниця м. (В?нницька область), Козицького вул., буд. 51;;;;20.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN0903;пер. К.Маркса, 19а;POP VIN0903 пер. К.Маркса, 19а;;;07.11.2013;06.06.2014;Косій Д.В.;Закрыт;False;20.12.2013
POP VIN0908;ул. Скалецкого, 72;POP VIN0908 ул. Скалецкого, 72;;;01.11.2013;16.02.2015;Косій Д.В.;Закрыт;False;20.12.2013
POP VIN0924;ул. Грушевского, 13;POP VIN0924 ул. Грушевского, 13;;;17.10.2013;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN0940;м.Вiнниця, вул.50-рiччя Перемоги, 16;POP VIN0940 м.Вiнниця, вул.50-рiччя Перемоги, 16;;;20.04.2015;06.10.2015;Косій Д.В.;Закрыт;False;22.05.2015
POP VIN1007;м.В?нниця, вул.Келецька, 53;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN1101;м.Вiнниця, просп.Юностi, 16;POP VIN1101 м.Вiнниця, просп.Юностi, 16;;;20.04.2015;;Косій Д.В.;Эксплуатация;False;22.05.2015
POP VIN1103;м. Вінниця, пров. К.Маркса, б. 19-а;;;;18.04.2016;07.07.2017;Косій Д.В.;Закрыт;False;24.06.2016
POP VIN1730;м. Вінниця, вул. Максима Шимка, 56;;;;17.08.2018;;Косій Д.В.;Эксплуатация;False;17.08.2018
POP VIN1754;ул. Папанина, 20;POP VIN1754 ул. Папанина, 20;;;05.11.2013;;Косій Д.В.;Эксплуатация;False;30.06.2015
POP VIN2014;м.Вiнниця, вул. Пирогова, 29;POP VIN2014 м.Вiнниця, вул. Пирогова, 29;;;20.04.2015;06.09.2018;Косій Д.В.;Закрыт;False;11.09.2017
POP VIN2096;территория сельского совета;POP VIN2096 территория сельского совета;;;01.11.2013;;Парфенюк О.В.;Эксплуатация;False;02.09.2015
POP VIN2815;вул.Мічурина, 5а;;;;07.06.2016;;Косій Д.В.;Эксплуатация;False;21.03.2017
POP VIN706;м.Вiнниця, вул. Пугачова, 3;POP VIN706 м.Вiнниця, вул. Пугачова, 3;;;27.11.2012;;Косій Д.В.;Эксплуатация;False;30.09.2018
POP VIN901;м.Вінниця, просп.Юності, 16;;;;20.08.2018;;Косій Д.В.;Эксплуатация;False;20.08.2018
POP VIN947;м. Вiнниця, вул. Наливайка, 8;POP VIN947 м. Вiнниця, вул. Наливайка, 8;;;09.07.2013;;Косій Д.В.;Эксплуатация;False;10.02.2015
POP VING000014;Вiнниця, вул.Гоголя, 4;POP VING000014 Вiнниця, вул.Гоголя, 4;;;13.01.2014;27.03.2017;Шабанов А.Є.;Закрыт;False;07.03.2017
POP VING010011;Вiнниця, вул.Папанiна, 1А;POP VING010011 Вiнниця, вул.Папанiна, 1А;;;;;;Строящийся;False;
RBS TB0706;м.Вінниця, вул. Пугачова, 3;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0725;м.Вінниця, пл.Героїв Сталінграду, 2;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0738;м.Вінниця, вул.Гліба Успенського, 8;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0748;м.Вінниця, просп. Коцюбинського, 34A;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0800;м.Вінниця, пл. Гагарина, 2;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0801;м.Вінниця, вул.Соборна,10;;;;;;;Строящийся;False;
RBS TB0802;м.Вінниця, Хмельницьке шосе,15;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0803;м.Вінниця, вул.Матроса Кошки, 12;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0805;м.Вінниця, вул.50-річчя Перемоги,26;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0809;м.Вінниця, вул. Соборна, 67;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0810;м.Вінниця, вул.Келецька, 23;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0811;м.Вінниця, вул. Кірова, 16-б;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0812;м.Вінниця, пл. Жовтня, 1;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0821;м.Вінниця, вул.Козицького, 51, трубостійки на будівлі;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0910;м.Вінниця, вул.Київська, 14;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB0924;м.Вінниця, вул.Грушевського, 13;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB1754;м.Вінниця, вул.Папаніна, 20, щогла на даху;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB2814;м.Вінниця, вул. Пирогова, 29;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
RBS TB2901;Вінницька обл., м. Вінниця, вул. Володарського,26;;;;18.04.2018;29.05.2018;;Закрыт;False;18.04.2018
