Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
RBS ZYT830;11708, Житомирська обл, м. Нов.-Волинський, вул. Куйбишева, 14;RBS ZYT830 м.Новоград-Волинський, вул.iвана Мамайчука;;;31.03.2005;10.02.2016;Вовкула Д.С.;Закрыт;False;31.12.2015
RBS ZYT831;13200, Житомирська обл.,смт Чуднiв, вул. Робiтнича,44;RBS ZYT831 13200, Житомирська обл.,смт Чуднiв, вул. Робiтнича,44;;;30.09.2005;;Мікрюков О.В.;Эксплуатация;False;31.03.2016
RBS ZYT832;13100, Житомирська обл, смт Любар, вул. Бердичiвська, 50;RBS ZYT832 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;30.06.2005;;Мікрюков О.В.;Эксплуатация;False;28.03.2014
RBS ZYT833;13002, Житомирська, обл, смт Романiв, вул. Ленiна, 7;RBS ZYT833 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;29.04.2016
RBS ZYT834;12700, смт Баранiвка, вул. Першотравенька, 21;RBS ZYT834 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;30.09.2005;;Мікрюков О.В.;Эксплуатация;False;31.03.2016
RBS ZYT835;12424, Житомирський р-н, с. Висока Пiч, вул Зелена, 12;RBS ZYT835 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;31.05.2006;12.12.2017;Мікрюков О.В.;Закрыт;False;31.03.2014
RBS ZYT836;12212, Житомирська обл., Чуднiвський р-н, смт iванопiль, вул. Радянська, 30;RBS ZYT836 12212, Житомирська обл., Чуднiвський р-н, смт iванопiль, вул. Радянська, 30;труба,iванопольский цукрозавод;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;27.12.2014
RBS ZYT837;12724, Баранiвський р-н, смт Довбиш, вул Кiрова, 1;RBS ZYT837 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;30.09.2006;13.10.2017;Мікрюков О.В.;Закрыт;False;26.05.2014
RBS ZYT838;13033, Житомирська область, Романiвський район,  смт. Миропiль;RBS ZYT838 13033, Житомирська область, Романiвський район,  смт. Миропiль;власна вежа, в/ч А 2117;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;12.06.2014
RBS ZYT839;11714,Житомирська обл..Новоград-Волинський, смт. Городiвка, вул. Петровського,10;RBS ZYT839 11714,Житомирська обл..Новоград-Волинський, смт. Городiвка, вул. Петровського,10;;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;26.12.2017
RBS ZYT840;13300, м. Бердичiв, вул Ленiна, 78;RBS ZYT840 13300, м. Бердичiв, вул Ленiна, 78;;;28.02.2005;10.02.2016;Вовкула Д.С.;Закрыт;False;28.06.2013
RBS ZYT841;13300, м. Бердичiв, вул Володимирська, 9;RBS ZYT841 13300, м. Бердичiв, вул Володимирська, 9;труба котельної;;28.02.2005;;Мікрюков О.В.;Эксплуатация;False;31.12.2014
RBS ZYT842;12746, смт. Першотравенськ, вул. Лермонтова;RBS ZYT842 12746, смт. Першотравенськ, вул. Лермонтова;;;30.06.2006;;Мікрюков О.В.;Эксплуатация;False;13.06.2014
RBS ZYT843;13240, Житомирська область, Чуднiвський р-н, смт. В.Коровинцi, пров. Пiонерський, 1а;RBS ZYT843 13240, Житомирська область, Чуднiвський р-н, смт. В.Коровинцi, пров. Пiонерський, 1а;"вежа на даху,ВАТ""Короновецький цукровий завод""";;31.12.2005;12.01.2015;Звірков О.С.;Закрыт;False;04.08.2012
RBS ZYT844;Житомирська область, Романiвський р-н, смт.Бикiвка, територiя сiльради;RBS ZYT844 Житомирська область, Романiвський р-н, смт.Бикiвка, територiя сiльради;;;02.06.2010;;Осадчук О.В.;Эксплуатация;False;28.04.2017
RBS ZYT846;;RBS ZYT846  Житомирська обл., Баранiвський р-н, смт.Кам`яний Брiд, територiя сiльради;;;26.11.2008;;Осадчук О.В.;Эксплуатация;False;31.03.2016
RBS ZYT847;12722, Житомирська область, Баранiвський район, с. Рогачiв вул. Молодiжна;RBS ZYT847 12722, Житомирська область, Баранiвський район, с. Рогачiв вул. Молодiжна;;;30.06.2006;;Мікрюков О.В.;Эксплуатация;False;15.05.2014
RBS ZYT848;Житомирська область, Баранiвський р-н, с.Дубрiвка, територiя сiльради;RBS ZYT848 Житомирська область, Баранiвський р-н, с.Дубрiвка, територiя сiльради;;;28.05.2010;;Осадчук О.В.;Эксплуатация;False;31.03.2016
RBS ZYT850;11601, м. Малин, вул. Огiєнко, 55;RBS ZYT850 11601, м. Малин, вул. Огiєнко, 55;;;30.09.2005;;Блоха С.С.;Эксплуатация;False;30.09.2016
RBS ZYT851;11602, Житомирська область,  м. Малин, вул. Неманихiна, 2;RBS ZYT851 11602, Житомирська область,  м. Малин, вул. Неманихiна, 2;"труба ВАТ ""Малинська паперова фабрика""";;31.01.2006;13.10.2017;Блоха С.С.;Закрыт;False;30.09.2016
RBS ZYT852;Житомирська обл., Радомишльський р-н, смт.Бiла Криниця, вежа РЕМ;RBS ZYT852 Житомирська обл., Радомишльський р-н, смт.Бiла Криниця, вежа РЕМ;;;20.09.2011;;Блоха С.С.;Эксплуатация;False;29.09.2014
RBS ZYT853;08001, с.м.т.Макарiв-1, Київська обл.;RBS ZYT853 08001, с.м.т.Макарiв-1, Київська обл.;вежа ВЧ А2192(вiйскове мiстечко Макарiв-1);;28.09.2007;;Харченко В.Б.;Эксплуатация;False;07.08.2015
RBS ZYT854;Житомирська обл., Радомишльський р-н, с.Потiївка, територiя сiльради;RBS ZYT854 Житомирська обл., Радомишльський р-н, с.Потiївка, територiя сiльради;;;11.05.2011;;Блоха С.С.;Эксплуатация;False;16.09.2014
RBS ZYT855;12200, смт Радомишль, вул Присутня, 15;RBS ZYT855 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;30.09.2005;;Блоха С.С.;Эксплуатация;False;12.02.2016
RBS ZYT856;Житомирська обл., Житомирський р-н, с.Троянiв, територiя сiльради;RBS ZYT856 Житомирська обл., Житомирський р-н., с.Троянiв;;;26.02.2010;;Гребенюк Р.Л.;Эксплуатация;False;13.11.2013
RBS ZYT857;13419, Житомирська область, Андрушiвський рйон, с. Новоiвницьке;RBS ZYT857 13419, Житомирська область, Андрушiвський рйон, с. Новоiвницьке;водонапiрна башта в/ч А1912;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;24.11.2014
RBS ZYT858;12452, с.Кодня,вул.Гонти,1;RBS ZYT858 12452, с.Кодня,вул.Гонти,1;"власна вежа, ТОВ ""Ноовкосфера""";;31.12.2005;;Гребенюк Р.Л.;Эксплуатация;False;30.09.2014
RBS ZYT859;13434, Житомирська область, Андрушiвський район, смт. Червоне, вул. Свердлова, 75;RBS ZYT859 13434, Житомирська область, Андрушiвський район, смт. Червоне, вул. Свердлова, 75;;;31.12.2005;;Мікрюков О.В.;Эксплуатация;False;09.06.2015
RBS ZYT860;"13401, смт Андрушiвка, вул 6-го з""їзду Рад, 1";RBS ZYT860 10000, м. Житомир, вул. Баранова, 125;м. Житомир, вул. Пушкiнська,32/8;;30.09.2005;;Мікрюков О.В.;Эксплуатация;False;03.09.2014
RBS ZYT861;13516, Житомирська обл., Попiльнянський р-н, смт. Корнин, вул. Мiчурiна, 7;RBS ZYT861 13516, Житомирська обл., Попiльнянський р-н, смт. Корнин, вул. Мiчурiна, 7;;;30.09.2006;;Мікрюков О.В.;Эксплуатация;False;26.11.2014
